Drug	Duration
TOPOTECAN	1.5
DMSO	10.0
FLUVASTATIN	20.0
FLUVASTATIN+TERBINIFINE	21.0
TOPOTECAN-LOW	21.0
GLUT1	21.5
PEG400	22.0
G9A	23.0
CFI-402257-LOW+PACLITAXEL	25.5
GLUT1-2TIMESDAILY	26.0
PQ-1-6	27.0
DIPYRIDAMOLE	27.0
FROST-LOW	27.5
PQ-1-6-VEHICLE	28.0
DATOPOTAMAB-CONTROL	28.0
UNC0642	28.0
CFI-402257+ABT263	29.0
CFI-402257+PACLITAXEL	31.0
CFI-402257-2ON5OFF	31.0
CFI-402257-HD	33.0
PACLITAXEL-10DAILY	33.5
CFI-402257-2ON5OFF+PACLITAXEL-15DAILY	33.5
EVEROLIMUS	34.0
ABT-263	34.0
CFI-402257+PACLITAXEL-40DAILY	34.0
CFI-400945+CFI-402257	35.0
PALBOCICLIB-45DAILY	35.0
FLUVASTATIN+DIPYRIDAMOLE	36.0
CFI-402257	38.0
FROST	39.0
CFI-400945-13.5WEEKLY	40.0
UNC1999	40.0
CFI-402257-3ON4OFF	41.0
CARBOPLATIN	41.5
CX-5461	42.0
ABT-263-LOW	42.0
TRASTUZUMAB-CONTROL	43.0
PACLITAXEL-15DAILY	45.0
CFI-400945-3.75DAILY	45.0
BMN-673	47.0
CFI-400945-2ON5OFF	49.0
H2O	49.0
CFI-400945	49.5
CFI-400945-5DAILY	52.0
CFI-400945-41.6WEEKLY	57.0
PACLITAXEL-40DAILY	57.0
PACLITAXEL	57.0
CDX-011	59.0
CFI-400945+ABT-263	61.0
ADC-CONTROL	63.0
CFI-400945-52WEEKLY	70.0
CFI-402257-LOW	71.0
ERIBULIN-EXTRALOW	80.0
CFI-400945+ABT-263-LOW	91.0
AZD-5305	91.0
CFI-402257-3ON4OFF+PACLITAXEL	95.0
PALBOCICLIB	97.0
AZD-8205	104.0
TRASTUZUMAB-DERUXTECAN	108.0
CFI-402257-HD+PACLITAXEL-15DAILY	114.5
ERIBULIN-LOW	117.0
CFI-400945-6DAILY	118.5
ERIBULIN	157.0
SACITUZAMAB-GOVITECAN	158.0
CFI-402257-HD+PACLITAXEL	163.5
DATOPOTAMAB-DERUXTECAN	171.0
CFI-402257-3ON4OFF+PACLITAXEL-15DAILY	196.5
CFI-402257-2ON5OFF+PACLITAXEL	223.0
